aim,model,version,timestamp,n_samples,train_auc,cv_auc_mean,cv_auc_std,train_avg_precision,data_hash,params_hash,model_path
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T11:49:24.356855,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v19,2026-06-25T11:49:25.708560,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v19_logistic_regression.pkl
aim1_non_conversion,random_forest,v20,2026-06-25T11:49:28.309477,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v20_random_forest.pkl
aim1_non_conversion,xgboost,v21,2026-06-25T11:49:29.472490,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v21_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:40:14.806742,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v22,2026-06-25T13:40:15.562441,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v22_logistic_regression.pkl
aim1_non_conversion,random_forest,v23,2026-06-25T13:40:17.124097,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v23_random_forest.pkl
aim1_non_conversion,xgboost,v24,2026-06-25T13:40:17.932665,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v24_xgboost.pkl
aim2_contact_risk,logistic_regression,v4,2026-06-25T13:40:18.578709,36,1.0,1.0,0.0,1.0,148482f911746fbe,5be4f764c9b61ae8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v4_logistic_regression.pkl
aim2_contact_risk,random_forest,v5,2026-06-25T13:40:20.051622,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v5_random_forest.pkl
aim2_contact_risk,xgboost,v6,2026-06-25T13:40:20.536488,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v6_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:40:50.262697,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v25,2026-06-25T13:40:50.897647,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v25_logistic_regression.pkl
aim1_non_conversion,random_forest,v26,2026-06-25T13:40:52.525051,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v26_random_forest.pkl
aim1_non_conversion,xgboost,v27,2026-06-25T13:40:53.107230,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v27_xgboost.pkl
